Year ,DomesticDebt_adjust
1990-03-31,14337.3015625
1990-06-30,14002.819687500003
1990-09-30,14331.459062499998
1990-12-31,15323.219687499997
1991-03-31,16978.101562500004
1991-06-30,15833.919687500003
1991-09-30,15352.8590625
1991-12-31,15534.919687499998
1992-03-31,16380.101562500002
1992-06-30,17557.744687500006
1992-09-30,19398.509062499998
1992-12-31,21902.394687499997
1993-03-31,25069.401562500003
1993-06-30,27438.569687500003
1993-09-30,30470.8590625
1993-12-31,34166.2696875
1994-03-31,38524.801562500004
1994-06-30,36599.1946875
1994-09-30,35336.7090625
1994-12-31,34737.34468749999
1995-03-31,34801.1015625
1995-06-30,37751.869687499995
1995-09-30,41365.7590625
1995-12-31,45642.7696875
1996-03-31,50582.9015625
1996-06-30,44718.4696875
1996-09-30,39517.159062499995
1996-12-31,34978.96968749999
1997-03-31,31103.901562500003
1997-06-30,40380.9196875
1997-09-30,50321.059062500004
1997-12-31,60924.3196875
1998-03-31,72190.7015625
1998-06-30,72074.51968750001
1998-09-30,72621.4590625
1998-12-31,73831.5196875
1999-03-31,75704.7015625
1999-06-30,85616.06968750001
1999-09-30,96190.55906249999
1999-12-31,107428.16968749999
2000-03-31,119328.9015625
2000-06-30,119607.96968750001
2000-09-30,120550.1590625
2000-12-31,122155.4696875
2001-03-31,124423.9015625
2001-06-30,124118.21968750001
2001-09-30,124475.6590625
2001-12-31,125496.2196875
2002-03-31,127179.9015625
2002-06-30,114575.21968750001
2002-09-30,102633.6590625
2002-12-31,91355.2196875
2003-03-31,80739.9015625
2003-06-30,89078.26968750001
2003-09-30,98079.7590625
2003-12-31,107744.36968749999
2004-03-31,118072.1015625
2004-06-30,118667.6196875
2004-09-30,119926.2590625
2004-12-31,121848.0196875
2005-03-31,124432.9015625
2005-06-30,133488.3446875
2005-09-30,143206.9090625
2005-12-31,153588.5946875
2006-03-31,164633.4015625
2006-06-30,158971.91968750002
2006-09-30,153973.5590625
2006-12-31,149638.31968749998
2007-03-31,145966.20156249998
2007-06-30,187258.94468749998
2007-09-30,229214.8090625
2007-12-31,271833.7946875
2008-03-31,315115.9015625
2008-06-30,296937.9696875
2008-09-30,279423.1590625
2008-12-31,262571.4696875
2009-03-31,246382.9015625
2009-06-30,234556.9696875
2009-09-30,223394.1590625
2009-12-31,212894.4696875
2010-03-31,203057.9015625
2010-06-30,209311.9696875
2010-09-30,216229.1590625
2010-12-31,223809.4696875
2011-03-31,232052.9015625
2011-06-30,223879.9696875
2011-09-30,216370.1590625
2011-12-31,209523.4696875
2012-03-31,203339.9015625
2012-06-30,249814.9696875
2012-09-30,296953.1590625
2012-12-31,344754.4696875
2013-03-31,393218.9015625
2013-06-30,388806.9696875
2013-09-30,385058.1590625
2013-12-31,381972.4696875
2014-03-31,379549.9015625
2014-06-30,432049.75061249995
2014-09-30,485212.7209125
2014-12-31,539038.8124625001
2015-03-31,593528.0252625
2015-06-30,506461.32263749995
2015-09-30,420057.7412625
2015-12-31,334317.2811375
2016-03-31,249239.9422625
2016-06-30,259705.2488625
2016-09-30,270833.6767125
2016-12-31,282625.22581249994
2017-03-31,295079.89616249996
2017-06-30,329830.92423749994
2017-09-30,365245.07356249995
2017-12-31,401322.3441375
2018-03-31,438062.7359625
2018-06-30,551871.5954875001
2018-09-30,666343.5762625
2018-12-31,781478.6782875
2019-03-31,897276.9015625
2019-06-30,1109891.9696875
2019-09-30,1323170.1590625
2019-12-31,1537111.4696875
2020-03-31,1751715.9015625
2020-06-30,1830955.9696875
2020-09-30,1910859.1590625
2020-12-31,1991425.4696875
2021-03-31,2072654.9015625
