Year,Inflation(annual %)
1960,-1.544676806
1961,1.13444364
1962,1.503579953
1963,2.2729054
1964,3.195647176
1965,0.222783306
1966,-0.15560166
1967,2.189239332
1968,5.860566449
1969,7.456952734
1970,5.866956078
1971,2.665380209
1972,6.34948605
1973,9.626643102
1974,12.3028868
1975,6.625992553
1976,1.329518681
1977,1.224879588
1978,12.14159728
1979,10.73192143
1980,26.1454101
1981,17.9689955
1982,10.82574917
1983,13.96438801
1984,16.63825375
1985,1.481180122
1986,7.976361936
1987,7.717165606
1988,13.9915489
1989,11.56753609
1990,21.49525205
1991,12.18563072
1992,11.38343705
1993,11.74673702
1994,8.448712487
1995,7.674848734
1996,15.93583104
1997,9.573696264
1998,9.364243007
1999,4.69170563
2000,6.17627591
2001,14.1584558
2002,9.55103167
2003,6.314637871
2004,7.57592583
2005,11.6396861
2006,10.02018361
2007,15.84211149
2008,22.56449553
2009,3.464963221
2010,6.217648893
2011,6.716768436
2012,7.542913732
2013,6.908450348
2014,3.179002282
2015,3.768367831
2016,3.958888466
2017,7.704137679
2018,2.135037737
2019,3.528393582
2020,6.153945084
2021,7.014780712
